Event,Mean,StDev,Score
2019onbar,19.415545406576566,32.35815127085054,0.6000202311949394
2019cala,14.55777815316473,24.634096968393205,0.5909604956026233
2019abca,13.82539774782883,24.328829498339978,0.5682722117302098
2019lake,11.895105932408887,21.042437145418766,0.5652912659405813
2019casf,14.631804992532219,26.05704356725749,0.5615297435706832
2019ncpem,13.55955048512914,24.598441255514675,0.5512361675392441
2019hiho,13.617279863542814,25.196341400541655,0.5404467119678763
2019onwat,20.33012789955211,37.63959706722539,0.5401260768876438
2019onham,18.831736009655195,36.475793423442546,0.5162803668460374
2019mifor,14.632239735658942,28.350114233628442,0.5161263060556708
2019onto3,14.571752845268845,28.30325161673764,0.5148437728141305
2019txgre,15.177199201673202,29.483569362918963,0.5147680396106088
2019txaus,13.163256084541418,25.670560082746753,0.512776349332108
2019txama,14.796181475014164,30.144490612785948,0.4908419805487867
2019txcha,12.019883377996395,25.371910110591152,0.47374767313947175
2019txelp,13.280014413120405,28.631701709551905,0.46382204410470024
2019nvlv,11.862092626488051,26.07075093410193,0.45499620077961783
2019arli,8.884700297613165,20.036433614492243,0.4434272320392842
2019txdls,9.928339316661967,22.589053440881127,0.4395199357355053
2019bcvi,11.211068181212122,26.414461229870216,0.42442918231980936
2019txpas,9.700628375349286,23.92469627332812,0.40546505855390114
2019flwp,9.010029120038727,22.304050778198686,0.4039638005507801
2019ausp,9.46290207898351,23.571998930336026,0.40144673801105646
2019ausc,8.882703319272915,23.300471279100286,0.38122419125661167
2019tuis,4.202375309608219,16.410738759649107,0.2560747185825091
2019tuis2,2.762252783004108,13.92361115686473,0.19838623413741627
