Team #,DP,DivDP,OPR,CCWM,Region
5449,10,10,59.022068882121104,59.022068882121104,China
5453,10,10,97.74971643550946,97.74971643550946,China
5468,8,8,101.05541630878831,101.05541630878831,PNW
5522,9,9,87.05010055631772,87.05010055631772,China
5584,16,16,113.46454058429026,113.46454058429026,Australia
568,8,8,138.5442517664222,138.5442517664222,PNW
5716,6,6,35.28822436618056,35.28822436618056,Mexico
5818,28,28,158.18636180121422,158.18636180121422,California
5908,5,5,61.38975841109505,61.38975841109505,Texas
5986,13,13,111.89381635640798,111.89381635640798,Texas
6131,15,15,112.94974504544719,112.94974504544719,Arkansas
6314,12,12,42.26076870167067,42.26076870167067,Arizona
6445,7,7,64.45860398627063,64.45860398627063,PNW
6822,18,18,57.13643367565025,57.13643367565025,California
6888,7,7,67.73940115584185,67.73940115584185,NC
6941,12,12,85.02779176400931,85.02779176400931,China
6952,13,13,63.84114761503331,63.84114761503331,China
7057,3,3,16.183520962999264,16.183520962999264,California
7063,4,4,37.55620078525501,37.55620078525501,Texas
7079,9,9,54.147372750309145,54.147372750309145,ISR
7179,24,24,90.99484175233201,90.99484175233201,Texas
7287,11,11,104.52075444091795,104.52075444091795,Canada
842,49,49,163.59847028098363,163.59847028098363,Arizona
987,55,55,179.92843785652235,179.92843785652235,Nevada
1114,49,49,176.6715492607986,176.6715492607986,ONT
1218,20,20,108.38135997664207,108.38135997664207,MAR
1259,22,22,131.92276740605035,131.92276740605035,Wisconsin
1262,8,8,89.17047437044026,89.17047437044026,CHS
1322,17,17,135.0623268260754,135.0623268260754,FIM
1325,47,47,202.45625003905164,202.45625003905164,ONT
1493,6,6,55.281391287825805,55.281391287825805,New York
1559,22,22,114.32956438252626,114.32956438252626,New York
1660,10,10,92.84305295862129,92.84305295862129,New York
1756,58,58,126.42399092530374,126.42399092530374,Illinois
1923,21,21,147.9285487294471,147.9285487294471,MAR
2016,20,20,125.17118303648286,125.17118303648286,MAR
2075,25,25,138.42533757177756,138.42533757177756,FIM
2081,7,7,52.55512730777108,52.55512730777108,Illinois
2177,11,11,72.35631561380913,72.35631561380913,Minnesota
